original_index,original_file,new_file,width,height,aspect_ratio,original_size_kb,jpg_size_kb
0,"ChatGPT Image Jun 3, 2026 at 09_55_07 AM.png",fresh-seasonal-fruit-platter.jpg,1672,941,1672:941,2012.4,184.4
1,"ChatGPT Image Jun 3, 2026 at 09_55_08 AM.png",fresh-orange-juice-or-green-juice.jpg,1672,941,1672:941,2026.1,187.5
2,"ChatGPT Image Jun 3, 2026 at 09_56_23 AM.png",coffee-and-creamer.jpg,1672,941,1672:941,2170.1,217.2
3,"ChatGPT Image Jun 3, 2026 at 09_60_09 AM.png",granola-and-yogurt.jpg,1672,941,1672:941,2001.1,189.6
4,"ChatGPT Image Jun 3, 2026 at 11_27_21 AM.png",chilaquiles.jpg,1672,941,1672:941,2187.8,224.0
5,"ChatGPT Image Jun 3, 2026 at 11_27_29 AM.png",huevos-rancheros.jpg,1672,941,1672:941,2253.2,232.8
6,"ChatGPT Image Jun 3, 2026 at 11_27_33 AM.png",huevos-a-la-mexicana.jpg,1672,941,1672:941,2414.8,261.7
7,"ChatGPT Image Jun 3, 2026 at 11_27_36 AM.png",eggs-any-style.jpg,1672,941,1672:941,2204.3,218.0
8,"ChatGPT Image Jun 3, 2026 at 11_27_39 AM.png",breakfast-burrito.jpg,1672,941,1672:941,1989.4,173.6
9,"ChatGPT Image Jun 3, 2026 at 11_27_42 AM.png",molletes.jpg,1672,941,1672:941,2108.4,195.8
10,"ChatGPT Image Jun 3, 2026 at 11_27_45 AM.png",enfrijoladas.jpg,1672,941,1672:941,1965.2,180.5
11,"ChatGPT Image Jun 3, 2026 at 11_27_48 AM.png",quesadillas.jpg,1672,941,1672:941,2046.4,194.1
12,"ChatGPT Image Jun 3, 2026 at 11_28_21 AM.png",avocado-toast.jpg,1672,941,1672:941,2179.9,212.6
13,"ChatGPT Image Jun 3, 2026 at 11_28_22 AM.png",smoked-salmon-toast-or-bagel.jpg,1672,941,1672:941,2087.1,193.5
14,"ChatGPT Image Jun 3, 2026 at 11_28_53 AM.png",avocado-toast-2.jpg,1672,941,1672:941,2179.9,212.6
15,"ChatGPT Image Jun 3, 2026 at 11_28_57 AM.png",smoked-salmon-toast-or-bagel-2.jpg,1672,941,1672:941,2087.1,193.5
16,"ChatGPT Image Jun 3, 2026 at 11_31_29 AM.png",pancakes.jpg,1672,941,1672:941,1995.7,182.8
17,"ChatGPT Image Jun 3, 2026 at 11_31_32 AM.png",waffles.jpg,1672,941,1672:941,2180.4,222.6
18,"ChatGPT Image Jun 3, 2026 at 11_31_36 AM.png",french-toast.jpg,1672,941,1672:941,2310.0,249.3
19,"ChatGPT Image Jun 3, 2026 at 11_31_44 AM.png",oatmeal-bowl.jpg,1672,941,1672:941,2165.7,208.5
20,"ChatGPT Image Jun 3, 2026 at 11_31_50 AM.png",tropical-yogurt-parfait.jpg,1672,941,1672:941,1870.8,159.3
